"Borough.Code","Block.Number","Lot.Number","Tax.Year","Owner.Name","Property.Address","Granted.Reduction.Amount","Tax.Class.Code","FULLVAL","tax_saved","percent_red","boroughs"
4,3667,455,2018,"STATION REALTY CORP.","70 AVENUE",23600,"4",171000,2481.304,0.138011695906433,"Queens"
3,5331,74,2018,"AUTOZONE DEVELOPMENT","458 CONEY ISLAND AVEN",10600,"4",188000,1114.484,0.0563829787234043,"Brooklyn"
4,16100,14,2018,"79 ARVERNE DEVELOPMEN","350 BEACH 79 STREET",127250,"4",1665000,13379.065,0.0764264264264264,"Queens"
3,696,18,2018,"334-36TH STREET REALT","334 36 STREET",10850,"4",313000,1140.769,0.0346645367412141,"Brooklyn"
3,2460,3,2018,"JPMORGAN CHASE BANK N","223 HAVEMEYER STREET",90450,"4",1901000,9509.913,0.0475802209363493,"Brooklyn"
4,4994,41,2018,"34 WOODSIDE REALTY, L","140-74 34 AVENUE",156300,"2",4714000,19712.556,0.0331565549427238,"Queens"
4,3552,87,2018,"JULIAN MCDERMOTT CORP","16-39 STEPHEN STREET",73500,"4",1230000,7727.79,0.0597560975609756,"Queens"
2,5855,2260,2018,"POST ROAD REALTY, INC","5790 MOSHOLU AVENUE",15600,"4",768000,1640.184,0.0203125,"Bronx"
1,1366,25,2018,"50 SUTTON PLACE SOUTH","50 SUTTON PLACE SOUTH",2318450,"2",84041000,292402.914,0.027587130091265,"Manhattan"
3,4121,76,2018,"W E R LLC","380 ETNA STREET",100600,"2",1168000,12687.672,0.0861301369863014,"Brooklyn"
1,471,17,2018,"171 MULBERRY, LLC","171 MULBERRY STREET",80700,"2",3246000,10177.884,0.0248613678373383,"Manhattan"
3,4893,10,2018,"3922 CHURCH AVE LLC","3922 CHURCH AVENUE",14850,"4",533000,1561.329,0.0278611632270169,"Brooklyn"
4,1190,54,2018,"62 WOODSIDE CORP.","62-11 35 AVENUE",425700,"4",1946000,44758.098,0.218756423432682,"Queens"
2,5953,1,2018,"RIVERDALE HOLDING COM","5661 RIVERDALE AVENUE",320750,"4",9935000,33723.655,0.0322848515349774,"Bronx"
3,6102,47,2018,"COCO REALTY LLC","9224 3 AVENUE",130400,"2",1792000,16446.048,0.0727678571428571,"Brooklyn"
3,2834,17,2018,"LUKASZ TYKA AND HANNA","12 LOMBARDY STREET",9700,"4",466000,1019.858,0.0208154506437768,"Brooklyn"
1,522,4,2018,"620 BROADWAY HOUSING","620 BROADWAY",525150,"2",9167000,66231.918,0.0572870077451729,"Manhattan"
4,5051,1,2018,"CORAL GARDENS OWNERS,","144-07 SANFORD AVENUE",998024,"2",8690000,125870.78688,0.114847410817031,"Queens"
1,409,39,2018,"S & L LUDLOW REALTY I","90 LUDLOW STREET",88000,"4",2640000,9252.32,0.0333333333333333,"Manhattan"
2,5629,236,2018,"261 CITY IL LLC","261 CITY ISLAND AVENU",70100,"4",878000,7370.314,0.0798405466970387,"Bronx"
4,139,29,2018,"TAIN YAIE HSIA","43-18 49 STREET",28450,"2",541000,3588.114,0.0525878003696858,"Queens"
2,2295,1006,2018,"BRUCKNER BY THE BRIDG","331 EAST 132 STREET",1091790,"2",17584196,137696.5548,0.0620892760749482,"Bronx"
1,611,22,2018,"CHARLES STREET, LLC","28 CHARLES STREET",125750,"2",5335000,15859.59,0.0235707591377694,"Manhattan"
3,255,44,2018,"EIGHTEEN ASSOCIATES L","32 COURT STREET",1104250,"4",25565000,116100.845,0.0431938196753374,"Brooklyn"
1,866,1001,2018,"30 EAST 37TH STREET C","30 EAST 37 STREET",39687,"2",606128,5005.32444,0.0654762690388829,"Manhattan"
1,474,33,2018,"477 REALTY LLC","479 BROADWAY",933350,"4",16963000,98132.419,0.0550226964569946,"Manhattan"
2,2458,16,2018,"730 GC REALTY CORP.","730 GRAND CONCOURSE",66450,"2",2221000,8380.674,0.029918955425484,"Bronx"
1,1260,42,2018,"2 WEST 45TH STREET LL","2 WEST 45 STREET",784150,"4",33187000,82445.531,0.0236282279205713,"Manhattan"
4,4095,30,2018,"SMITHTOWN LAND CORP.","128-02 14 AVENUE",85900,"4",702000,9031.526,0.122364672364672,"Queens"
1,822,31,2018,"156 FIFTH AVENUE CORP","154 5 AVENUE",1204950,"4",83251000,126688.443,0.0144737000156154,"Manhattan"
1,490,1101,2018,"CMG PROPERTIES, LLC","10 SULLIVAN STREET",200400,"4",2612000,21070.056,0.0767228177641654,"Manhattan"
1,2221,22,2018,"570 WEST 204 LLC","570 WEST 204 STREET",175759,"2",8311000,22166.72508,0.0211477559860426,"Manhattan"
1,210,1001,2018,"THE CLARK BUILDING CO","332 CANAL STREET",711300,"2",7514000,89709.156,0.0946632951823263,"Manhattan"
1,1551,43,2018,"316 EAST 89TH ASSOCIA","314 EAST 89 STREET",52650,"2",2608000,6640.218,0.0201878834355828,"Manhattan"
4,711,3,2018,"STEVEN CUCULICH, AS T","45-13 BROADWAY",107950,"4",1031000,11349.863,0.10470417070805,"Queens"
4,1481,1,2018,"37TH AVENUE A U REALT","93-04 37 AVENUE",25100,"4",1378000,2639.014,0.0182148040638607,"Queens"
1,1078,16,2018,"ASH 49, LLC","525 WEST 49 STREET",393450,"2",10591000,49621.914,0.0371494665281843,"Manhattan"
4,657,1,2018,"PETER PHILLIPS","37-19 BROADWAY",195700,"4",1696000,20575.898,0.115389150943396,"Queens"
1,1917,5,2018,"2153 SECOND AVENUE LL","161 WEST 132 STREET",158150,"4",3507000,16627.891,0.0450955232392358,"Manhattan"
1,1125,1004,2018,"THE HERMITAGE CONDOMI","41 WEST 72 STREET",5394,"2",204222,680.29128,0.0264124335282193,"Manhattan"
4,12451,14,2018,"RETTNER REALTY MANAGE","118-49 MONTAUK STREET",89400,"4",1532000,9399.516,0.058355091383812,"Queens"
3,7334,11,2018,"3344 NOSTRAND AVENUE","3354 NOSTRAND AVENUE",264600,"4",1888000,27820.044,0.140148305084746,"Brooklyn"
2,5625,37,2018,"SAMMYS FISHBOX RLTY C","41 CITY ISLAND AVENUE",26200,"4",886000,2754.668,0.0295711060948081,"Bronx"
1,787,76,2018,"PALOBUENO REAL ESTATE","262 WEST 38 STREET",400300,"4",21118000,42087.542,0.0189553935031727,"Manhattan"
3,676,48,2018,"141 32ND STREET LLC","139 32 STREET",95850,"4",1213000,10077.669,0.0790189612530915,"Brooklyn"
1,712,27,2018,"405 WEST 14TH STREET,","405 WEST 14 STREET",132150,"4",6827000,13894.251,0.0193569649919438,"Manhattan"
4,4174,31,2018,"MAYER MALBIN REALTY I","20-16 130 STREET",74950,"4",1111000,7880.243,0.0674617461746175,"Queens"
1,862,1,2018,"FORMAN FIFTH, LLC","319 5 AVENUE",423550,"4",14719000,44532.047,0.0287757320470141,"Manhattan"
4,8263,147,2018,"COUNTRY NECK CORP.","47-27 LITTLE NECK PAR",515175,"2",6960000,64973.871,0.0740193965517241,"Queens"
1,767,1202,2018,"VESTA 17 CONDOMINIUM","201 WEST 17 STREET",35988,"2",571239,4538.80656,0.062999900216897,"Manhattan"
3,255,1,2018,"44 COURT STREET LLC","44 COURT STREET",899800,"4",34062000,94604.972,0.0264165345546357,"Brooklyn"
3,4857,49,2018,"ALYVON REALTY CORP.","427 LINDEN BOULEVARD",161850,"2",1693000,20412.522,0.0955995274660366,"Brooklyn"
1,78,1901,2018,"110 FULTON HOLDINGS L","110 FULTON STREET",69050,"4",2309000,7259.917,0.0299047206582936,"Manhattan"
1,65,1001,2018,"65 NASSAU OWNERS CORP","65 NASSAU STREET",362850,"2",8073000,45762.642,0.0449461166852471,"Manhattan"
1,1553,13,2018,"321 EAST 90TH ST. REA","321 EAST 90 STREET",108950,"2",2431000,13740.774,0.0448169477581242,"Manhattan"
4,9561,30,2018,"12401 LIBERTY AVE HOL","124-01 LIBERTY AVENUE",23800,"4",1664000,2502.332,0.0143028846153846,"Queens"
3,3821,28,2018,"ICHB LLC","590 LIVONIA AVENUE",35900,"4",552000,3774.526,0.065036231884058,"Brooklyn"
3,2264,1701,2018,"THE 559-561 FLUSHING","559 FLUSHING AVENUE",20814,"2",201102,2625.06168,0.103499716561745,"Brooklyn"
1,2165,9,2018,"CRA WEST 182ND STREET","612 WEST 182 STREET",32850,"2",1065000,4143.042,0.0308450704225352,"Manhattan"
1,764,1001,2018,"2072 ENTERPRISE LLC","217 WEST 14 STREET",23069,"4",751265,2425.47466,0.0307068744051699,"Manhattan"
1,1198,1001,2018,"THE CLIRION CONDOMINI","74 WEST 85 STREET",3485,"4",274519,366.4129,0.0126949318626397,"Manhattan"
3,2563,26,2018,"GREENPOINT AVENUE EQU","126 GREENPOINT AVENUE",63500,"4",2330000,6676.39,0.0272532188841202,"Brooklyn"
4,10013,19,2018,"F & L REALTY LLC","97-34 ALLENDALE STREE",163700,"2",1826000,20645.844,0.0896495071193866,"Queens"
4,13376,48,2018,"SPG JFK II LLC","147-27 175 STREET",179400,"4",2332000,18862.116,0.0769296740994854,"Queens"
1,2075,5,2018,"SPARROW 1 LLC","529 WEST 143 STREET",217250,"2",2875000,27399.57,0.0755652173913044,"Manhattan"
1,809,65,2018,"136 WEST 34TH ST ASSO","136 WEST 34 STREET",1378500,"4",18230000,144935.49,0.0756171146461876,"Manhattan"
1,882,52,2018,"GOTHAM HOUSE OWNERS C","150 EAST 27 STREET",246500,"2",10770000,31088.58,0.0228876508820799,"Manhattan"
1,1373,1003,2018,"RIVERWALK PLACE CONDO","455 MAIN STREET",6155,"2",279635,776.2686,0.0220108355534894,"Manhattan"
4,2689,19,2018,"M-H REALTY CO. #2 LLC","59-20 56 AVENUE",42050,"4",3149000,4421.137,0.0133534455382661,"Queens"
4,416,10,2018,"METROPOLITAN LIFE INS","27-01 QUEENS PLAZA NO",945100,"4",59878000,99367.814,0.0157837603126357,"Queens"
2,4571,28,2018,"LOTUS MANAGEMENT GROU","786 BURKE AVENUE",20850,"4",783000,2192.169,0.0266283524904215,"Bronx"
3,4786,120,2018,"G.S.I. REALTY CO.","4801 GLENWOOD ROAD",28000,"4",2040000,2943.92,0.0137254901960784,"Brooklyn"
4,367,23,2018,"HEPHAISTOS BUILDING S","24-14 37 AVENUE",313100,"4",4918000,32919.334,0.0636640910939406,"Queens"
1,855,16,2018,"352 PARK AVENUE SOUTH","53 EAST 25 STREET",1247050,"4",56549000,131114.837,0.0220525561902067,"Manhattan"
